"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE40-44","MLE","0.004905","0.00491","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE5-9","MLE","0.005287","0.00529","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGE85-89","BTSX","63294.7","63294.73000","","",""
"LIFE_0000000032","PUBLISHED","2000","SEAR","AGE60-64","MLE","9160.3","9160.26100","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE75-79","FMLE","0.300668","0.30067","","",""
"LIFE_0000000033","PUBLISHED","2000","SEAR","AGE1-4","FMLE","369508.9","369508.90000","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE90-94","MLE","0.708967","0.70897","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE10-14","BTSX","0.007344","0.00734","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE15-19","FMLE","4664394","4664394.00000","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGELT1","FMLE","6434302","6434302.00000","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGE25-29","FMLE","4169579","4169579.00000","","",""
"LIFE_0000000030","PUBLISHED","2000","SEAR","AGE100PLUS","MLE","1","1.00000","","",""
"LIFE_0000000030","PUBLISHED","2000","SEAR","AGE60-64","FMLE","0.099305","0.09931","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE50-54","BTSX","0.040475","0.04048","","",""
"LIFE_0000000029","PUBLISHED","2013","SEAR","AGE20-24","MLE","0.001794","0.00179","","",""
"LIFE_0000000029","PUBLISHED","2013","SEAR","AGE55-59","BTSX","0.012951","0.01295","","",""
"LIFE_0000000033","PUBLISHED","2013","SEAR","AGE60-64","FMLE","387262.5","387262.50000","","",""
"LIFE_0000000033","PUBLISHED","1990","SEAR","AGE20-24","MLE","426523.2","426523.20000","","",""
"LIFE_0000000029","PUBLISHED","2000","SEAR","AGE10-14","BTSX","0.001146","0.00115","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE50-54","MLE","408065.2","408065.20000","","",""
"LIFE_0000000029","PUBLISHED","2000","SEAR","AGE25-29","BTSX","0.002675","0.00268","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGE1-4","BTSX","6197543","6197543.00000","","",""
"LIFE_0000000032","PUBLISHED","2000","SEAR","AGE20-24","FMLE","1061.3","1061.26200","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE50-54","BTSX","1713407","1713407.00000","","",""
