"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000030","PUBLISHED","1990","WPR","AGE45-49","BTSX","0.021562","0.02156","","",""
"LIFE_0000000029","PUBLISHED","2012","WPR","AGE80-84","BTSX","0.090385","0.09039","","",""
"LIFE_0000000030","PUBLISHED","2012","WPR","AGE90-94","BTSX","0.681299","0.68130","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE85-89","FMLE","140850.1","140850.10000","","",""
"LIFE_0000000032","PUBLISHED","2000","WPR","AGE80-84","MLE","15719.7","15719.74000","","",""
"LIFE_0000000035","PUBLISHED","2013","WPR","AGE15-19","BTSX","62.5","62.54861","","",""
"LIFE_0000000035","PUBLISHED","2000","WPR","AGE10-14","FMLE","67.5","67.49145","","",""
"LIFE_0000000031","PUBLISHED","1990","WPR","AGE50-54","FMLE","88924","88923.96000","","",""
"LIFE_0000000032","PUBLISHED","1990","WPR","AGE60-64","FMLE","5391","5390.97800","","",""
"LIFE_0000000032","PUBLISHED","2012","WPR","AGE15-19","MLE","286.4","286.35930","","",""
"LIFE_0000000035","PUBLISHED","2013","WPR","AGE70-74","FMLE","14.4","14.41054","","",""
"LIFE_0000000029","PUBLISHED","1990","WPR","AGE35-39","BTSX","0.002121","0.00212","","",""
"LIFE_0000000032","PUBLISHED","1990","WPR","AGE45-49","FMLE","1530.9","1530.86100","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE10-14","BTSX","0.001553","0.00155","","",""
"LIFE_0000000034","PUBLISHED","2012","WPR","AGE20-24","MLE","5432661","5432661.00000","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE1-4","MLE","74","74.03952","","",""
"LIFE_0000000035","PUBLISHED","2013","WPR","AGE85-89","FMLE","6.1","6.14232","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE75-79","MLE","9.2","9.20833","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE40-44","BTSX","0.012868","0.01287","","",""
"LIFE_0000000034","PUBLISHED","2013","WPR","AGE90-94","FMLE","88040.6","88040.57000","","",""
